AssessmentAdministrationPeriodDescription;AssessmentId;AssessmentSecureIndicator;Code;FinishDate;FinishTime;Name;RecordEndDateTime;RecordStartDateTime;RefAssessmentReportingMethodId;StartDate;StartTime;AssessmentAdministrationId
;101;;1;;;nota #1: Educación Física y Salud;;;;;;3494622
;101;;1;;;nota #1: Educación Física y Salud;;;;;;3495230
;101;;2;;;nota #2: Educación Física y Salud;;;;;;3494623
;101;;2;;;nota #2: Educación Física y Salud;;;;;;3495327
;101;;3;;;nota #3: Educación Física y Salud;;;;;;3495137
;101;;3;;;nota #3: Educación Física y Salud;;;;;;3495681
;101;;4;;;nota #4: Educación Física y Salud;;;;;;3495138
;101;;4;;;nota #4: Educación Física y Salud;;;;;;3495682
;101;;5;;;nota #5: Educación Física y Salud;;;;;;3495683
;101;;1;;;nota #1: Idioma Extranjero 1 (Ingles);;;;;;3494656
;101;;1;;;nota #1: Idioma Extranjero 1 (Ingles);;;;;;3495357
;101;;2;;;nota #2: Idioma Extranjero 1 (Ingles);;;;;;3494657
;101;;2;;;nota #2: Idioma Extranjero 1 (Ingles);;;;;;3495358
;101;;3;;;nota #3: Idioma Extranjero 1 (Ingles);;;;;;3494658
;101;;3;;;nota #3: Idioma Extranjero 1 (Ingles);;;;;;3495359
;101;;4;;;nota #4: Idioma Extranjero 1 (Ingles);;;;;;3494659
;101;;4;;;nota #4: Idioma Extranjero 1 (Ingles);;;;;;3495360
;101;;5;;;nota #5: Idioma Extranjero 1 (Ingles);;;;;;3495361
;100;;1;;;nota #1: Lenguaje y Comunicación;;;;;;3494577
;100;;1;;;nota #1: Lenguaje y Comunicación;;;;;;3495162
;100;;2;;;nota #2: Lenguaje y Comunicación;;;;;;3494578
;100;;2;;;nota #2: Lenguaje y Comunicación;;;;;;3495163
;101;;3;;;nota #3: Lenguaje y Comunicación;;;;;;3494579
;101;;3;;;nota #3: Lenguaje y Comunicación;;;;;;3495164
;101;;4;;;nota #4: Lenguaje y Comunicación;;;;;;3494580
;101;;4;;;nota #4: Lenguaje y Comunicación;;;;;;3495165
;101;;5;;;nota #5: Lenguaje y Comunicación;;;;;;3494581
;101;;5;;;nota #5: Lenguaje y Comunicación;;;;;;3495166
;100;;6;;;nota #6: Lenguaje y Comunicación;;;;;;3494582
;100;;6;;;nota #6: Lenguaje y Comunicación;;;;;;3495167
;100;;7;;;nota #7: Lenguaje y Comunicación;;;;;;3494583
;100;;7;;;nota #7: Lenguaje y Comunicación;;;;;;3495168
;101;;8;;;nota #8: Lenguaje y Comunicación;;;;;;3494584
;100;;8;;;nota #8: Lenguaje y Comunicación;;;;;;3495169
;101;;9;;;nota #9: Lenguaje y Comunicación;;;;;;3494585
;100;;9;;;nota #9: Lenguaje y Comunicación;;;;;;3495170
