AssessmentResultDescriptiveFeedbackDateTime;AssessmentResultScoreStandardError;DateCreated;DateUpdated;DescriptiveFeedback;DescriptiveFeedbackSource;DiagnosticStatement;DiagnosticStatementSource;IncludedInAypCalculation;InstructionalRecommendation;NumberOfResponses;PreliminaryIndicator;RecordEndDateTime;RecordStartDateTime;RefAssessmentPretestOutcomeId;RefAssessmentResultDataTypeId;RefAssessmentResultScoreTypeId;RefELOutcomeMeasurementLevelId;RefOutcomeTimePointId;RefScoreMetricTypeId;ScoreValue;AssessmentRegistrationId;AssessmentResultId;AssessmentSubtestId
;;;;;;;;;;;;;;;;;;;1;5,5;186545771019;1;34910704577
;;;;;;;;;;;;;;;;;;;1;5,0;186645771019;2;34910704577
;;;;;;;;;;;;;;;;;;;1;6,0;186745771019;3;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;186845771019;4;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;186945771019;5;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;187045771019;6;34910704577
;;;;;;;;;;;;;;;;;;;1;6,0;187145771019;7;34910704577
;;;;;;;;;;;;;;;;;;;1;6,0;187245771019;8;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;187445771019;9;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;187745771019;10;34910704577
;;;;;;;;;;;;;;;;;;;1;5,8;187845771019;11;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;188145771019;12;34910704577
;;;;;;;;;;;;;;;;;;;1;6,0;188345771019;13;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;188445771019;14;34910704577
;;;;;;;;;;;;;;;;;;;1;5,0;188545771019;15;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;188645771019;16;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;188745771019;17;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;188845771019;18;34910704577
;;;;;;;;;;;;;;;;;;;1;6,0;188945771019;19;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;189045771019;20;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;189145771019;21;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;189345771019;22;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;189645771019;23;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;189745771019;24;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;189845771019;25;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;190245771019;26;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;190945771019;27;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;191045771019;28;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;191245771019;29;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;192845771019;30;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;194845771019;31;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;196245771019;32;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;196345771019;33;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;196945771019;34;34910704577
;;;;;;;;;;;;;;;;;;;1;6,0;198245771019;35;34910704577
;;;;;;;;;;;;;;;;;;;1;5,5;198845771019;36;34910704577
;;;;;;;;;;;;;;;;;;;1;5,5;203345771019;37;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;203745771019;38;34910704577
;;;;;;;;;;;;;;;;;;;1;5,5;203845771019;39;34910704577
;;;;;;;;;;;;;;;;;;;1;6,0;205345771019;40;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;205545771019;41;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;205945771019;42;34910704577
;;;;;;;;;;;;;;;;;;;1;6,0;206045771019;43;34910704577
;;;;;;;;;;;;;;;;;;;1;7,0;206745771019;44;34910704577
;;;;;;;;;;;;;;;;;;;1;6,5;207845771019;45;34910704577
;;;;;;;;;;;;;;;;;;;1;6,8;250845771019;46;34910704577
;;;;;;;;;;;;;;;;;;;1;6,0;186545781019;47;34910704578
;;;;;;;;;;;;;;;;;;;1;5,0;186645781019;48;34910704578
;;;;;;;;;;;;;;;;;;;1;6,5;186745781019;49;34910704578
;;;;;;;;;;;;;;;;;;;1;7,0;186845781019;50;34910704578
;;;;;;;;;;;;;;;;;;;1;6,3;186945781019;51;34910704578
;;;;;;;;;;;;;;;;;;;1;6,8;187045781019;52;34910704578
;;;;;;;;;;;;;;;;;;;1;6,1;187145781019;53;34910704578
;;;;;;;;;;;;;;;;;;;1;6,3;187245781019;54;34910704578
;;;;;;;;;;;;;;;;;;;1;6,0;187445781019;55;34910704578
;;;;;;;;;;;;;;;;;;;1;6,3;187745781019;56;34910704578
;;;;;;;;;;;;;;;;;;;1;5,8;187845781019;57;34910704578
;;;;;;;;;;;;;;;;;;;1;5,9;188145781019;58;34910704578
;;;;;;;;;;;;;;;;;;;1;6,0;188345781019;59;34910704578
;;;;;;;;;;;;;;;;;;;1;5,8;188445781019;60;34910704578
;;;;;;;;;;;;;;;;;;;1;5,5;188545781019;61;34910704578
;;;;;;;;;;;;;;;;;;;1;6,3;188645781019;62;34910704578
