ClassroomIdentifier;RecordEndDateTime;RecordStartDateTime;LocationId
Aula 1;;;2221001
Aula 1;;;2221003
Aula 1;;;2221004
Aula 1;;;2221005
Aula 1;;;2221011
Aula 1;;;2221014
Aula 1;;;2221019
Aula 1;;;2221020
Aula 1;;;2221021
Aula 1;;;2221022
Aula 1;;;2221023
Aula 1;;;2221024
Aula 1;;;2221025
Aula 1;;;2221026
Aula 1;;;2221039
Aula 1;;;2221041
Aula 1;;;2221042
Aula 1;;;2221043
Aula 1;;;2221044
Aula 1;;;2221045
Aula 1;;;2221046
Aula 1;;;2221056
Aula 1;;;2221057
Aula 1;;;2221058
Aula 1;;;2221059
Aula 1;;;2221060
Aula 1;;;2221061
Aula 1;;;2221062
Aula 1;;;2221063
Aula 1;;;2221072
Aula 1;;;2221073
Aula 1;;;2221074
Aula 1;;;2221075
Aula 1;;;2221076
Aula 1;;;2221077
Aula 1;;;2221078
Aula 1;;;2221079
Aula 1;;;2221088
Aula 1;;;2221089
Aula 1;;;2221090
Aula 1;;;2221091
Aula 1;;;2221092
Aula 1;;;2221093
Aula 1;;;2221094
Aula 1;;;2221095
Aula 1;;;2221096
Aula 1;;;2221097
Aula 1;;;2221098
Aula 1;;;2221099
Aula 1;;;2221100
Aula 1;;;2221101
Aula 1;;;2221102
Aula 1;;;2221103
Aula 1;;;2221104
Aula 1;;;2221105
Aula 1;;;2221106
Aula 1;;;2221107
Aula 1;;;2221108
Aula 1;;;2221109
Aula 1;;;2221110
Aula 1;;;2221111
Aula 1;;;2221112
Aula 1;;;2221113
Aula 1;;;2221114
Aula 1;;;2221115
Aula 1;;;2221116
Aula 1;;;2221117
Aula 1;;;2221118
Aula 1;;;2221119
Aula 1;;;2221120
Aula 1;;;2221121
Aula 1;;;2221122
Aula 1;;;2221123
Aula 1;;;2221125
Aula 1;;;2221126
Aula 1;;;2221127
Aula 1;;;2221128
Aula 1;;;2221129
Aula 1;;;2221130
Aula 1;;;2221131
Aula 1;;;2221132
Aula 1;;;2221133
Aula 1;;;2221134
Aula 1;;;2221135
Aula 1;;;2221136
Aula 1;;;2221137
Aula 1;;;2221138
Aula 1;;;2221139
Aula 1;;;2221140
Aula 1;;;2221152
Aula 1;;;2221153
Aula 1;;;2221154
Aula 1;;;2221155
Aula 1;;;2221156
Aula 1;;;2221157
Aula 1;;;2221158
Aula 1;;;2221159
Aula 1;;;2221160
Aula 1;;;2221161
Aula 1;;;2221176
Aula 1;;;2221177
Aula 1;;;2221178
Aula 1;;;2221179
Aula 1;;;2221180
Aula 1;;;2221182
Aula 1;;;2221183
Aula 1;;;2221185
Aula 1;;;2221186
Aula 1;;;2221187
Aula 1;;;2221188
