RecordEndDateTime;RecordStartDateTime;RefInstructionLocationTypeId;CourseSectionLocationId;LocationId;OrganizationId
;;10;1;2221001;114
;;10;2;2221003;112
;;10;3;2221004;113
;;10;4;2221005;111
;;10;5;2221011;130
;;10;6;2221014;136
;;10;7;2221019;163
;;10;8;2221020;168
;;10;9;2221021;169
;;10;10;2221022;170
;;10;11;2221023;167
;;10;12;2221024;165
;;10;13;2221025;171
;;10;14;2221026;166
;;10;15;2221039;197
;;10;16;2221041;200
;;10;17;2221042;201
;;10;18;2221043;202
;;10;19;2221044;203
;;10;20;2221045;195
;;10;21;2221046;198
;;10;22;2221056;227
;;10;23;2221057;221
;;10;24;2221058;222
;;10;25;2221059;223
;;10;26;2221060;225
;;10;27;2221061;226
;;10;28;2221062;219
;;10;29;2221063;220
;;10;30;2221072;247
;;10;31;2221073;242
;;10;32;2221074;243
;;10;33;2221075;244
;;10;34;2221076;245
;;10;35;2221077;246
;;10;36;2221078;240
;;10;37;2221079;241
;;10;38;2221088;260
;;10;39;2221089;268
;;10;40;2221090;271
;;10;41;2221091;267
;;10;42;2221092;261
;;10;43;2221093;263
;;10;44;2221094;264
;;10;45;2221095;269
;;10;46;2221096;270
;;10;47;2221097;265
;;10;48;2221098;266
;;10;49;2221099;273
;;10;50;2221100;274
;;10;51;2221101;275
;;10;52;2221102;276
;;10;53;2221103;277
;;10;54;2221104;278
;;10;55;2221105;279
;;10;56;2221106;280
;;10;57;2221107;281
;;10;58;2221108;282
;;10;59;2221109;283
;;10;60;2221110;294
;;10;61;2221111;292
;;10;62;2221112;296
;;10;63;2221113;291
;;10;64;2221114;286
;;10;65;2221115;287
;;10;66;2221116;288
;;10;67;2221117;295
;;10;68;2221118;289
;;10;69;2221119;290
;;10;70;2221120;293
;;10;71;2221121;306
;;10;72;2221122;305
;;10;73;2221123;304
;;10;74;2221125;300
;;10;75;2221126;301
;;10;76;2221127;308
;;10;77;2221128;302
;;10;78;2221129;303
;;10;79;2221130;298
;;10;80;2221131;307
;;10;81;2221132;312
;;10;82;2221133;314
;;10;83;2221134;315
;;10;84;2221135;316
;;10;85;2221136;317
;;10;86;2221137;318
;;10;87;2221138;319
;;10;88;2221139;311
;;10;89;2221140;313
;;10;90;2221152;342
;;10;91;2221153;344
;;10;92;2221154;345
;;10;93;2221155;351
;;10;94;2221156;346
;;10;95;2221157;347
;;10;96;2221158;348
;;10;97;2221159;349
;;10;98;2221160;343
;;10;99;2221161;350
;;10;100;2221176;321
;;10;101;2221177;352
;;10;102;2221178;262
;;10;103;2221179;224
;;10;104;2221180;196
;;10;105;2221182;133
;;10;106;2221183;135
;;10;107;2221185;138
;;10;108;2221186;139
;;10;109;2221187;194
;;10;110;2221188;164
