AssessmentRegistrationId;AssignedByPersonId;digitalRandomKey;DateDigitalRandomKey;personIDDigitalRandomKey;CourseSectionId;CreationDate;Description;DueDate;DueTime;LeaOrganizationId;MaximumAttemptsAllowed;MaximumTimeAllowed;OrganizationCalendarSessionId;PossiblePoints;Prerequisite;RecordEndDateTime;RecordStartDateTime;RefLanguageId;RefLearnerActivityAddToGradeBookFlagId;RefLearnerActivityMaximumTimeAllowedUnitsId;RefLearnerActivityTypeId;ReleaseDate;RubricUrl;SchoolOrganizationId;Title;Weight;LearnerActivityId;PersonId
186545771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;1;25979187
186645771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;2;25750672
186745771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;3;25738111
186845771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;4;25748274
186945771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;5;25729196
187045771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;6;25901733
187145771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;7;25958247
187245771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;8;25850089
187445771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;9;26034609
187745771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;10;25884927
187845771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;11;26003455
188145771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;12;25752084
188345771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;13;26119676
188445771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;14;25780309
188545771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;15;25985857
188645771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;16;26065351
188745771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;17;26029286
188845771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;18;25882754
188945771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;19;25912538
189045771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;20;25962712
189145771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;21;25862157
189345771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;22;26061868
189645771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;23;25726477
189745771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;24;25815345
189845771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;25;25884848
190245771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;26;26041600
190945771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;27;25767906
191045771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;28;26103632
191245771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;29;26192126
192845771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;30;25779404
194845771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;31;26194947
196245771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;32;25926243
196345771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;33;25926210
196945771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;34;25843198
198245771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;35;25916255
198845771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;36;25877948
203345771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;37;25724316
203745771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;38;25787343
203845771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;39;25999573
205345771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;40;26094851
205545771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;41;25865046
205945771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;42;25957604
206045771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;43;25810941
206745771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;44;26179426
207845771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;45;25766975
250845771019;;;;;;;;;;;;;;;;;;;;;;;;;;50;46;25831165
186545781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;47;25979187
186645781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;48;25750672
186745781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;49;25738111
186845781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;50;25748274
186945781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;51;25729196
187045781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;52;25901733
187145781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;53;25958247
187245781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;54;25850089
187445781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;55;26034609
187745781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;56;25884927
187845781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;57;26003455
188145781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;58;25752084
188345781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;59;26119676
188445781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;60;25780309
188545781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;61;25985857
188645781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;62;26065351
188745781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;63;26029286
188845781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;64;25882754
188945781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;65;25912538
189045781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;66;25962712
189145781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;67;25862157
189345781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;68;26061868
189645781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;69;25726477
189745781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;70;25815345
189845781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;71;25884848
190245781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;72;26041600
190945781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;73;25767906
191045781019;;;;;;;;;;;;;;;;;;;;;;;;;;50;74;26103632
