RecordEndDateTime;RecordStartDateTime;RefOrganizationTypeId;RegionGeoJSON;Name;OrganizationId;ShortName
;;10;;ESCUELA EVANGÉLICA BETH-EL;100;Escuela Beth-El Chillan 
;;38;;Regular;101;Regular
;;39;;Mañana y Tarde;102;Mañana y Tarde
;;40;;01:Educación Parvularia;103;01:Educación Parvularia
;;41;;000:Ciclo General;104;000:Ciclo General
;;42;;000:Ciclo General;105;000:Ciclo General
;;43;;000:Ciclo General;106;000:Ciclo General
;;44;;01:Simple;107;01:Simple
;;45;;010:Educación Parvularia;108;010:Educación Parvularia
;;46;;010.04:Primer Nivel de Transición (Pre-kinder);109;010.04:Primer Nivel de Transición (Pre-kinder)
;;21;;A;110;A
;;22;;Lenguaje Verbal;111;Lenguaje Verbal
;;22;;Pensamiento Lógico Matemático;112;Pensamiento Lógico Matemático
;;22;;Lenguajes Artísticos;113;Lenguajes Artísticos
;;22;;Desarrollo Personal y Social;114;Desarrollo Personal y Social
;;22;;HABILIDADES METAFONOLÓGICAS;115;HABILIDADES METAFONOLÓGICAS
;;39;;Mañana;116;Mañana
;;40;;01:Educación Parvularia;117;01:Educación Parvularia
;;41;;000:Ciclo General;118;000:Ciclo General
;;42;;000:Ciclo General;119;000:Ciclo General
;;43;;000:Ciclo General;120;000:Ciclo General
;;44;;01:Simple;121;01:Simple
;;45;;010:Educación Parvularia;122;010:Educación Parvularia
;;46;;010.04:Primer Nivel de Transición (Pre-kinder);123;010.04:Primer Nivel de Transición (Pre-kinder)
;;21;;B;124;B
;;22;;Desarrollo Personal y Social;125;Desarrollo Personal y Social
;;22;;Comunicación Integral;126;Comunicación Integral
;;22;;Interacción y Comprensión  del Entorno;127;Interacción y Comprensión  del Entorno
;;46;;010.05:Segundo Nivel de Transición (Kinder);128;010.05:Segundo Nivel de Transición (Kinder)
;;21;;A;129;A
;;22;;Desarrollo Personal y Social;130;Desarrollo Personal y Social
;;22;;Desarrollo Personal y Social;131;Desarrollo Personal y Social
;;22;;Lenguaje Verbal;132;Lenguaje Verbal
;;22;;Lenguaje Verbal;133;Lenguaje Verbal
;;22;;Pensamiento Lógico Matemático;134;Pensamiento Lógico Matemático
;;22;;Pensamiento Lógico Matemático;135;Pensamiento Lógico Matemático
;;22;;HABILIDADES METAFONOLÓGICAS;136;HABILIDADES METAFONOLÓGICAS
;;22;;HABILIDADES METAFONOLÓGICAS;137;HABILIDADES METAFONOLÓGICAS
;;22;;Lenguajes Artísticos;138;Lenguajes Artísticos
;;22;;Lenguajes Artísticos;139;Lenguajes Artísticos
;;46;;010.05:Segundo Nivel de Transición (Kinder);140;010.05:Segundo Nivel de Transición (Kinder)
;;21;;B;141;B
;;22;;Desarrollo Personal y Social;142;Desarrollo Personal y Social
;;22;;Comunicación Integral;143;Comunicación Integral
;;22;;Interacción y Comprensión  del Entorno;144;Interacción y Comprensión  del Entorno
;;46;;010.01:Sala Cuna;145;010.01:Sala Cuna
;;21;;A;146;A
;;21;;B;147;B
;;46;;010.02:Nivel Medio Menor;148;010.02:Nivel Medio Menor
;;21;;A;149;A
;;21;;B;150;B
;;46;;010.03:Nivel Medio Mayor;151;010.03:Nivel Medio Mayor
;;21;;A;152;A
;;21;;B;153;B
;;39;;Tarde;154;Tarde
;;40;;02:Enseñanza Básica Niños;155;02:Enseñanza Básica Niños
;;41;;000:Ciclo General;156;000:Ciclo General
;;42;;000:Ciclo General;157;000:Ciclo General
;;43;;000:Ciclo General;158;000:Ciclo General
;;44;;01:Simple;159;01:Simple
;;45;;110:Enseñanza Básica;160;110:Enseñanza Básica
;;46;;110.01:1º Básico;161;110.01:1º Básico
;;21;;A;162;A
;;22;;Lenguaje y Comunicación;163;Lenguaje y Comunicación
;;22;;Educación Física y Salud;164;Educación Física y Salud
;;22;;Educación Física y Salud;165;Educación Física y Salud
;;22;;Estudio Y Comprensión Del Medio Natural, Social Y Cultural;166;Estudio Y Comprensión Del Medio Natural, Social Y Cultural
;;22;;Idioma Extranjero 1 (Ingles);167;Idioma Extranjero 1 (Ingles)
;;22;;Matemática;168;Matemática
;;22;;Tecnología;169;Tecnología
;;22;;Religión;170;Religión
;;22;;Educación Artística;171;Educación Artística
;;40;;02:Enseñanza Básica Niños;172;02:Enseñanza Básica Niños
;;41;;000:Ciclo General;173;000:Ciclo General
;;42;;000:Ciclo General;174;000:Ciclo General
;;43;;000:Ciclo General;175;000:Ciclo General
;;44;;01:Simple;176;01:Simple
;;45;;110:Enseñanza Básica;177;110:Enseñanza Básica
;;46;;110.01:1º Básico;178;110.01:1º Básico
;;21;;B;179;B
;;22;;Ciencias Naturales;180;Ciencias Naturales
;;22;;Educación Física y Salud;181;Educación Física y Salud
;;22;;Historia, Geografía y Ciencias Sociales;182;Historia, Geografía y Ciencias Sociales
;;22;;Idioma Extranjero 1 (Ingles);183;Idioma Extranjero 1 (Ingles)
;;22;;Lengua Indígena;184;Lengua Indígena
;;22;;Lenguaje y Comunicación;185;Lenguaje y Comunicación
;;22;;Matemática;186;Matemática
;;22;;Música;187;Música
;;22;;Orientación;188;Orientación
;;22;;Tecnología;189;Tecnología
;;22;;Religión;190;Religión
;;22;;Religión Evangélica;191;Religión Evangélica
;;46;;110.02:2º Básico;192;110.02:2º Básico
;;21;;A;193;A
;;22;;Educación Artística;194;Educación Artística
;;22;;Educación Artística;195;Educación Artística
;;22;;Educación Física y Salud;196;Educación Física y Salud
