RecordEndDateTime;RecordStartDateTime;RefCalendarEventType;EventDate;rexNumber;rexDate;fileScanBase64;indicadorSinClases;Name;OrganizationCalendarEventId;OrganizationCalendarId
;;;2024-03-02;;;;;Feriado: SABADO;1;888999
;;;2024-03-03;;;;;Feriado: DOMINGO;2;888999
;;;2024-03-09;;;;;Feriado: SABADO;3;888999
;;;2024-03-10;;;;;Feriado: DOMINGO;4;888999
;;;2024-03-16;;;;;Feriado: SABADO;5;888999
;;;2024-03-17;;;;;Feriado: DOMINGO;6;888999
;;;2024-03-23;;;;;Feriado: SABADO;7;888999
;;;2024-03-24;;;;;Feriado: DOMINGO;8;888999
;;;2024-03-29;;;;;Feriado: SEMANA SANTA;9;888999
;;;2024-03-30;;;;;Feriado: SABADO;10;888999
;;;2024-03-31;;;;;Feriado: DOMINGO;11;888999
;;;2024-04-06;;;;;Feriado: SABADO;12;888999
;;;2024-04-07;;;;;Feriado: DOMINGO;13;888999
;;;2024-04-13;;;;;Feriado: SABADO;14;888999
;;;2024-04-14;;;;;Feriado: DOMINGO;15;888999
;;;2024-04-20;;;;;Feriado: SABADO;16;888999
;;;2024-04-21;;;;;Feriado: DOMINGO;17;888999
;;;2024-04-27;;;;;Feriado: SABADO;18;888999
;;;2024-04-28;;;;;Feriado: DOMINGO;19;888999
;;;2024-05-01;;;;;Feriado: FERIADO;20;888999
;;;2024-05-04;;;;;Feriado: SABADO;21;888999
;;;2024-05-05;;;;;Feriado: DOMINGO;22;888999
;;;2024-05-11;;;;;Feriado: SABADO;23;888999
;;;2024-05-12;;;;;Feriado: DOMINGO;24;888999
;;;2024-05-18;;;;;Feriado: SABADO;25;888999
;;;2024-05-19;;;;;Feriado: DOMINGO;26;888999
;;;2024-05-20;;;;;Feriado: FERIADO;27;888999
;;;2024-05-21;;;;;Feriado: FERIADO;28;888999
;;;2024-05-25;;;;;Feriado: SABADO;29;888999
;;;2024-05-26;;;;;Feriado: DOMINGO;30;888999
;;;2024-06-01;;;;;Feriado: FERIADO;31;888999
;;;2024-06-02;;;;;Feriado: FERIADO;32;888999
;;;2024-06-08;;;;;Feriado: FERIADO;33;888999
;;;2024-06-09;;;;;Feriado: FERIADO;34;888999
;;;2024-06-15;;;;;Feriado: FERIADO;35;888999
;;;2024-06-16;;;;;Feriado: FERIADO;36;888999
;;;2024-06-22;;;;;Feriado: FERIADO;37;888999
;;;2024-06-23;;;;;Feriado: FERIADO ;38;888999
;;;2024-06-29;;;;;Feriado: FERIADO;39;888999
;;;2024-06-30;;;;;Feriado: FERIADO;40;888999
;;;2024-06-20;;;;;Feriado: FERIADO;41;888999
;;;2024-06-19;;;;;Feriado: FERIADO;42;888999
;;;2024-06-21;;;;;Feriado: FERIADO;43;888999
;;;2024-06-24;;;;;Feriado: FERIADO;44;888999
;;;2024-06-25;;;;;Feriado: FERIADO ;45;888999
;;;2024-06-26;;;;;Feriado: FERIADO;46;888999
;;;2024-06-27;;;;;Feriado: FERIADO;47;888999
;;;2024-06-28;;;;;Feriado: FERIADO;48;888999
;;;2024-07-01;;;;;Feriado: FERIADO;49;888999
;;;2024-07-02;;;;;Feriado: FERIADO;50;888999
;;;2024-07-03;;;;;Feriado: FERIADO;51;888999
;;;2024-07-04;;;;;Feriado: FERIADO;52;888999
;;;2024-07-05;;;;;Feriado: FERIADO ;53;888999
;;;2024-07-06;;;;;Feriado: FERIADO;54;888999
;;;2024-07-07;;;;;Feriado: FERIADO;55;888999
;;;2024-07-13;;;;;Feriado: FERIADO;56;888999
