AttendanceTermIndicator;BeginDate;claseRecuperadaId;fileScanBase64;Code;DaysInSession;Designator;EndDate;numeroREX;fechaREX;FirstInstructionDate;InstructionalMinutes;LastInstructionDate;MarkingTermIndicator;OrganizationCalendarId;RecordEndDateTime;RecordStartDateTime;RefSessionTypeId;SchedulingTermIndicator;Description;MinutesPerDay;OrganizationCalendarSessionId;SessionEndTime;SessionStartTime
;2024-03-05;;;1;;;2024-06-18;;;;;;;339500189;;;7;;1° periodo curso Prekinder;;1;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;339500190;;;7;;2° periodo curso Prekinder;;2;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;340500191;;;7;;1° periodo curso 4B;;3;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;340500192;;;7;;2° periodo curso 4B;;4;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;341500193;;;7;;1° periodo curso Kinder;;5;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;341500194;;;7;;2° periodo curso Kinder;;6;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;342500195;;;7;;1° periodo curso 5B;;7;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;342500196;;;7;;2° periodo curso 5B;;8;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;343500177;;;7;;1° periodo curso Nivel Medio Menor A;;9;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;343500178;;;7;;2° periodo curso Nivel Medio Menor A;;10;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;344500179;;;7;;1° periodo curso Nivel Medio Menor B;;11;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;344500180;;;7;;2° periodo curso Nivel Medio Menor B;;12;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;345500181;;;7;;1° periodo curso Nivel Medio Mayor A;;13;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;345500182;;;7;;2° periodo curso Nivel Medio Mayor A;;14;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;346500183;;;7;;1° periodo curso Nivel Medio Mayor B;;15;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;346500184;;;7;;2° periodo curso Nivel Medio Mayor B;;16;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;347500185;;;7;;1° periodo curso Transición Menor A;;17;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;347500186;;;7;;2° periodo curso Transición Menor A;;18;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;348500187;;;7;;1° periodo curso Transición Menor B;;19;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;348500188;;;7;;2° periodo curso Transición Menor B;;20;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;349500197;;;7;;1° periodo curso 1A;;21;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;349500198;;;7;;2° periodo curso 1A;;22;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;350500199;;;7;;1° periodo curso 1B;;23;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;350500200;;;7;;2° periodo curso 1B;;24;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;351500201;;;7;;1° periodo curso 2A;;25;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;351500202;;;7;;2° periodo curso 2A;;26;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;352500203;;;7;;1° periodo curso 2B;;27;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;352500204;;;7;;2° periodo curso 2B;;28;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;353500205;;;7;;1° periodo curso 3A;;29;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;353500206;;;7;;2° periodo curso 3A;;30;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;354500207;;;7;;1° periodo curso 3B;;31;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;354500208;;;7;;2° periodo curso 3B;;32;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;355500209;;;7;;1° periodo curso 4A;;33;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;355500210;;;7;;2° periodo curso 4A;;34;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;356500211;;;7;;1° periodo curso 4B;;35;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;356500212;;;7;;2° periodo curso 4B;;36;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;357500213;;;7;;1° periodo curso 5A;;37;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;357500214;;;7;;2° periodo curso 5A;;38;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;358500215;;;7;;1° periodo curso 5B;;39;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;358500216;;;7;;2° periodo curso 5B;;40;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;359500217;;;7;;1° periodo curso 6A;;41;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;359500218;;;7;;2° periodo curso 6A;;42;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;360500219;;;7;;1° periodo curso 6B;;43;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;360500220;;;7;;2° periodo curso 6B;;44;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;361500221;;;7;;1° periodo curso 7A;;45;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;361500222;;;7;;2° periodo curso 7A;;46;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;362500223;;;7;;1° periodo curso 7B;;47;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;362500224;;;7;;2° periodo curso 7B;;48;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;363500225;;;7;;1° periodo curso 8A;;49;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;363500226;;;7;;2° periodo curso 8A;;50;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;364500227;;;7;;1° periodo curso 8B;;51;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;364500228;;;7;;2° periodo curso 8B;;52;;
;2024-03-05;;;1;;;2024-06-18;;;;;;;365500229;;;7;;1° periodo curso Egresado;;53;;
;2024-07-08;;;2;;;2024-12-30;;;;;;;365500230;;;7;;2° periodo curso Egresado;;54;;
1;2024-03-06;;;32962;;;2024-03-06;;;2024-03-06;;;;10032962;;;7;;clase fecha: 2024-03-06;;55;;
1;2024-03-06;;;32963;;;2024-03-06;;;2024-03-06;;;;10032963;;;7;;clase fecha: 2024-03-06;;56;;
1;2024-03-06;;;32964;;;2024-03-06;;;;;;;10032964;;;7;;clase fecha: 2024-03-06;;57;;
1;2024-03-06;;;32965;;;2024-03-06;;;;;;;10032965;;;7;;clase fecha: 2024-03-06;;58;;
1;2024-03-05;;;32966;;;2024-03-05;;;2024-03-05;;;;10032966;;;7;;clase fecha: 2024-03-05;;59;;
1;2024-03-05;;;32967;;;2024-03-05;;;2024-03-05;;;;10032967;;;7;;clase fecha: 2024-03-05;;60;;
