RecordEndDateTime;RecordStartDateTime;RefOrganizationIdentificationSystemId;RefOrganizationIdentifierTypeId;Identifier;OrganizationId;OrganizationIdentifierId
;;48;17;RBD17828;100;100
;;;;17828-4;100;101
;;;17;Regular;101;102
;;;17;Regular.jornada_completa;102;103
;;;17;Regular.jornada_completa.EP;103;104
;;;17;Regular.jornada_completa.EP.RAMA_CICLO_GENERAL;104;105
;;;17;Regular.jornada_completa.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL;105;106
;;;17;Regular.jornada_completa.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL;106;107
;;;17;Regular.jornada_completa.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple;107;108
;;;17;Regular.jornada_completa.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.010;108;109
;;;17;Regular.jornada_completa.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.01:simple.010.04;109;110
;;;17;CURSO-339;110;111
;;;17;LIBRO-1005;111;112
;;;17;LIBRO-1003;112;113
;;;17;LIBRO-1004;113;114
;;;17;LIBRO-1001;114;115
;;;17;LIBRO-1006;115;116
;;;17;Regular.manana;116;117
;;;17;Regular.manana.EP;117;118
;;;17;Regular.manana.EP.RAMA_CICLO_GENERAL;118;119
;;;17;Regular.manana.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL;119;120
;;;17;Regular.manana.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL;120;121
;;;17;Regular.manana.EP.RAMA_CICLO_GENERAL.SECTOR_CICLO_GENERAL.ESPECIALIDAD_CICLO_GENERAL.simple;121;122
