OperationalStatusEffectiveDate;RecordEndDateTime;RecordStartDateTime;OrganizationId;OrganizationOperationalStatusId;RefOperationalStatusId
;;;100;100;17
;;;101;101;17
;;;102;102;17
;;;103;103;17
;;;104;104;17
;;;105;105;17
;;;106;106;17
;;;107;107;17
;;;108;108;17
;;;109;109;17
;;;110;110;17
;;;111;111;17
;;;112;112;17
;;;113;113;17
;;;114;114;17
;;;115;115;17
;;;116;116;17
;;;117;117;17
;;;118;118;17
;;;119;119;17
;;;120;120;17
;;;121;121;17
;;;122;122;17
;;;123;123;17
;;;124;124;17
;;;125;125;17
;;;126;126;17
;;;127;127;17
;;;128;128;17
;;;129;129;17
;;;130;130;17
;;;131;131;17
;;;132;132;17
;;;133;133;17
;;;134;134;17
;;;135;135;17
;;;136;136;17
;;;137;137;17
;;;138;138;17
;;;139;139;17
;;;140;140;17
;;;141;141;17
;;;142;142;17
;;;143;143;17
;;;144;144;17
;;;145;145;17
;;;146;146;17
;;;147;147;17
;;;148;148;17
;;;149;149;17
;;;150;150;17
;;;151;151;17
;;;152;152;17
;;;153;153;17
;;;154;154;17
;;;155;155;17
;;;156;156;17
;;;157;157;17
;;;158;158;17
;;;159;159;17
;;;160;160;17
;;;161;161;17
;;;162;162;17
;;;163;163;17
;;;164;164;17
;;;165;165;17
;;;166;166;17
;;;167;167;17
;;;168;168;17
;;;169;169;17
;;;170;170;17
;;;171;171;17
;;;172;172;17
;;;173;173;17
;;;174;174;17
;;;175;175;17
;;;176;176;17
;;;177;177;17
;;;178;178;17
;;;179;179;17
;;;180;180;17
;;;181;181;17
;;;182;182;17
;;;183;183;17
;;;184;184;17
;;;185;185;17
;;;186;186;17
;;;187;187;17
;;;188;188;17
;;;189;189;17
;;;190;190;17
;;;191;191;17
;;;192;192;17
;;;193;193;17
;;;194;194;17
;;;195;195;17
;;;196;196;17
;;;197;197;17
;;;198;198;17
;;;199;199;17
;;;200;200;17
;;;201;201;17
;;;202;202;17
;;;203;203;17
;;;204;204;17
;;;205;205;17
;;;206;206;17
;;;207;207;17
;;;208;208;17
;;;209;209;17
;;;210;210;17
;;;211;211;17
;;;212;212;17
;;;213;213;17
;;;214;214;17
;;;215;215;17
;;;216;216;17
;;;217;217;17
;;;218;218;17
;;;219;219;17
;;;220;220;17
;;;221;221;17
;;;222;222;17
;;;223;223;17
;;;224;224;17
;;;225;225;17
;;;226;226;17
;;;227;227;17
;;;228;228;17
;;;229;229;17
;;;230;230;17
;;;231;231;17
;;;232;232;17
;;;233;233;17
;;;234;234;17
;;;235;235;17
;;;236;236;17
;;;237;237;17
;;;238;238;17
;;;239;239;17
;;;240;240;17
;;;241;241;17
;;;242;242;17
;;;243;243;17
;;;244;244;17
;;;245;245;17
;;;246;246;17
;;;247;247;17
;;;248;248;17
;;;249;249;17
;;;250;250;17
;;;251;251;17
;;;252;252;17
;;;253;253;17
;;;254;254;17
;;;255;255;17
;;;256;256;17
;;;257;257;17
;;;258;258;17
;;;259;259;17
;;;260;260;17
;;;261;261;17
;;;262;262;17
;;;263;263;17
;;;264;264;17
;;;265;265;17
;;;266;266;17
;;;267;267;17
;;;268;268;17
;;;269;269;17
;;;270;270;17
;;;271;271;17
;;;272;272;17
;;;273;273;17
;;;274;274;17
;;;275;275;17
;;;276;276;17
;;;277;277;17
;;;278;278;17
;;;279;279;17
;;;280;280;17
;;;281;281;17
;;;282;282;17
;;;283;283;17
;;;284;284;17
;;;285;285;17
;;;286;286;17
;;;287;287;17
;;;288;288;17
;;;289;289;17
;;;290;290;17
;;;291;291;17
;;;292;292;17
;;;293;293;17
;;;294;294;17
;;;295;295;17
;;;296;296;17
;;;297;297;17
;;;298;298;17
;;;299;299;17
;;;300;300;17
;;;301;301;17
;;;302;302;17
;;;303;303;17
;;;304;304;17
;;;305;305;17
;;;306;306;17
;;;307;307;17
;;;308;308;17
;;;309;309;17
;;;310;310;17
;;;311;311;17
;;;312;312;17
;;;313;313;17
;;;314;314;17
;;;315;315;17
;;;316;316;17
;;;317;317;17
;;;318;318;17
;;;319;319;17
;;;320;320;17
;;;321;321;17
;;;322;322;17
;;;323;323;17
;;;324;324;17
;;;325;325;17
;;;326;326;17
;;;327;327;17
;;;328;328;17
;;;329;329;17
;;;330;330;17
;;;331;331;17
;;;332;332;17
;;;333;333;17
;;;334;334;17
;;;335;335;17
;;;336;336;17
;;;337;337;17
;;;338;338;17
;;;339;339;17
;;;340;340;17
;;;341;341;17
;;;342;342;17
;;;343;343;17
;;;344;344;17
;;;345;345;17
;;;346;346;17
;;;347;347;17
;;;348;348;17
;;;349;349;17
;;;350;350;17
;;;351;351;17
;;;352;352;17
;;;353;353;17
;;;354;354;17
;;;355;355;17
;;;356;356;17
;;;357;357;17
;;;358;358;17
;;;359;359;17
;;;360;360;17
;;;361;361;17
;;;362;362;17
;;;363;363;17
;;;364;364;17
;;;365;365;17
