AttendanceRate;NumberOfDaysAbsent;NumberOfDaysInAttendance;RecordEndDateTime;RecordStartDateTime;OrganizationPersonRoleId;RoleAttendanceId
87.77777777777777;22;158;;;10101602;1
92.77777777777779;13;167;;;10101603;2
86.11111111111111;25;155;;;10101604;3
98.33333333333333;3;177;;;10101605;4
96.66666666666667;6;174;;;10101606;5
94.44444444444444;10;170;;;10101607;6
87.77777777777777;22;158;;;10101608;7
98.88888888888889;2;178;;;10101609;8
83.88888888888889;29;151;;;10101610;9
94.44444444444444;10;170;;;10101611;10
93.33333333333333;12;168;;;10101612;11
93.33333333333333;12;168;;;10101613;12
76.66666666666667;42;138;;;10101615;13
90;18;162;;;10101616;14
93.88888888888889;11;169;;;10101617;15
87.22222222222223;23;157;;;10101618;16
83.88888888888889;29;151;;;10101619;17
96.11111111111111;7;173;;;10101620;18
90.55555555555556;17;163;;;10101621;19
85.55555555555556;26;154;;;10101622;20
98.33333333333333;3;177;;;10101623;21
87.77777777777777;22;158;;;10101624;22
91.11111111111111;16;164;;;10101625;23
85.55555555555556;26;154;;;10101626;24
55.55555555555556;80;100;;;10101627;25
68.33333333333333;57;123;;;10101628;26
82.22222222222221;32;148;;;10101629;27
90.55555555555556;17;163;;;10101630;28
87.77777777777777;22;158;;;10101631;29
82.22222222222221;32;148;;;10101632;30
95;9;171;;;10101633;31
86.11111111111111;25;155;;;10101635;32
72.22222222222221;50;130;;;10101636;33
92.22222222222223;14;166;;;10101637;34
84.44444444444444;28;152;;;10101638;35
99.44444444444444;1;179;;;10101639;36
91.11111111111111;16;164;;;10101640;37
83.88888888888889;29;151;;;10101641;38
89.44444444444444;19;161;;;10101642;39
83.88888888888889;29;151;;;10101643;40
81.11111111111111;34;146;;;10101644;41
91.66666666666666;15;165;;;10101645;42
66.66666666666666;60;120;;;10101646;43
98.88888888888889;2;178;;;10101647;44
98.33333333333333;3;177;;;10101648;45
85.55555555555556;26;154;;;10101649;46
97.22222222222221;5;175;;;10101650;47
96.11111111111111;7;173;;;10101651;48
96.11111111111111;7;173;;;10101652;49
98.33333333333333;3;177;;;10101653;50
91.66666666666666;15;165;;;10101655;51
96.11111111111111;7;173;;;10101656;52
96.11111111111111;7;173;;;10101657;53
95;9;171;;;10101659;54
92.22222222222223;14;166;;;10101660;55
92.22222222222223;14;166;;;10101661;56
93.33333333333333;12;168;;;10101662;57
95;9;171;;;10101663;58
92.77777777777779;13;167;;;10101664;59
80.55555555555556;35;145;;;10101665;60
98.33333333333333;3;177;;;10101666;61
82.77777777777777;31;149;;;10101667;62
96.66666666666667;6;174;;;10101668;63
77.77777777777779;40;140;;;10101669;64
90;18;162;;;10101670;65
83.33333333333334;30;150;;;10101671;66
91.66666666666666;15;165;;;10101672;67
98.33333333333333;3;177;;;10101673;68
93.88888888888889;11;169;;;10101675;69
95.55555555555556;8;172;;;10101676;70
87.77777777777777;22;158;;;10101677;71
93.33333333333333;12;168;;;10101678;72
77.22222222222223;41;139;;;10101679;73
93.88888888888889;11;169;;;10101681;74
99.44444444444444;1;179;;;10101682;75
94.44444444444444;10;170;;;10101683;76
88.33333333333333;21;159;;;10101684;77
97.77777777777777;4;176;;;10101685;78
90;18;162;;;10101686;79
90;18;162;;;10101687;80
88.88888888888889;20;160;;;10101688;81
