ActualEndDateTime;ActualStartDateTime;AllottedTime;AssessmentAdministrationId;Lea_OrganizationId;Location;OrganizationId;RecordEndDateTime;RecordStartDateTime;RefAssessmentSessionSpecialCircumstanceTypeId;RefAssessmentSessionTypeId;ScheduledEndDateTime;ScheduledStartDateTime;School_OrganizationId;SecurityIssue;SpecialEventDescription;AssessmentSessionId
;;;27511656;;;;;;;;;;;;;2755511656
;;;27513366;;;;;;;;;;;;;2755513366
;;;27511657;;;;;;;;;;;;;2755511657
;;;27513367;;;;;;;;;;;;;2755513367
;;;27511658;;;;;;;;;;;;;2755511658
;;;27513368;;;;;;;;;;;;;2755513368
;;;27511659;;;;;;;;;;;;;2755511659
;;;27513369;;;;;;;;;;;;;2755513369
;;;27511660;;;;;;;;;;;;;2755511660
;;;27513370;;;;;;;;;;;;;2755513370
;;;27511661;;;;;;;;;;;;;2755511661
;;;27513371;;;;;;;;;;;;;2755513371
;;;27511662;;;;;;;;;;;;;2755511662
;;;27513372;;;;;;;;;;;;;2755513372
;;;27511663;;;;;;;;;;;;;2755511663
;;;27513373;;;;;;;;;;;;;2755513373
;;;27511664;;;;;;;;;;;;;2755511664
;;;27513374;;;;;;;;;;;;;2755513374
;;;27511665;;;;;;;;;;;;;2755511665
;;;27513375;;;;;;;;;;;;;2755513375
;;;27511666;;;;;;;;;;;;;2755511666
;;;27513376;;;;;;;;;;;;;2755513376
;;;27511667;;;;;;;;;;;;;2755511667
;;;27513377;;;;;;;;;;;;;2755513377
;;;27511668;;;;;;;;;;;;;2755511668
;;;27513378;;;;;;;;;;;;;2755513378
;;;27511669;;;;;;;;;;;;;2755511669
;;;27513379;;;;;;;;;;;;;2755513379
;;;27511670;;;;;;;;;;;;;2755511670
;;;27513380;;;;;;;;;;;;;2755513380
;;;27511956;;;;;;;;;;;;;2755511956
;;;27514236;;;;;;;;;;;;;2755514236
;;;27511957;;;;;;;;;;;;;2755511957
;;;27514237;;;;;;;;;;;;;2755514237
;;;27511958;;;;;;;;;;;;;2755511958
;;;27514238;;;;;;;;;;;;;2755514238
;;;27511959;;;;;;;;;;;;;2755511959
;;;27514239;;;;;;;;;;;;;2755514239
;;;27511960;;;;;;;;;;;;;2755511960
;;;27514240;;;;;;;;;;;;;2755514240
;;;27511961;;;;;;;;;;;;;2755511961
;;;27514241;;;;;;;;;;;;;2755514241
;;;27511962;;;;;;;;;;;;;2755511962
;;;27514242;;;;;;;;;;;;;2755514242
;;;27511963;;;;;;;;;;;;;2755511963
;;;27514243;;;;;;;;;;;;;2755514243
;;;27511964;;;;;;;;;;;;;2755511964
;;;27514244;;;;;;;;;;;;;2755514244
;;;27511965;;;;;;;;;;;;;2755511965
;;;27514245;;;;;;;;;;;;;2755514245
;;;27511966;;;;;;;;;;;;;2755511966
;;;27514246;;;;;;;;;;;;;2755514246
;;;27511967;;;;;;;;;;;;;2755511967
;;;27514247;;;;;;;;;;;;;2755514247
;;;27511968;;;;;;;;;;;;;2755511968
;;;27514248;;;;;;;;;;;;;2755514248
;;;27511969;;;;;;;;;;;;;2755511969
;;;27514249;;;;;;;;;;;;;2755514249
;;;27511970;;;;;;;;;;;;;2755511970
;;;27514250;;;;;;;;;;;;;2755514250
;;;27511641;;;;;;;;;;;;;2755511641
;;;27513351;;;;;;;;;;;;;2755513351
;;;27511642;;;;;;;;;;;;;2755511642
;;;27513352;;;;;;;;;;;;;2755513352
;;;27511643;;;;;;;;;;;;;2755511643
;;;27513353;;;;;;;;;;;;;2755513353
;;;27511644;;;;;;;;;;;;;2755511644
;;;27513354;;;;;;;;;;;;;2755513354
;;;27511645;;;;;;;;;;;;;2755511645
;;;27513355;;;;;;;;;;;;;2755513355
;;;27511646;;;;;;;;;;;;;2755511646
;;;27513356;;;;;;;;;;;;;2755513356
;;;27511647;;;;;;;;;;;;;2755511647
;;;27513357;;;;;;;;;;;;;2755513357
;;;27511648;;;;;;;;;;;;;2755511648
;;;27513358;;;;;;;;;;;;;2755513358
;;;27511649;;;;;;;;;;;;;2755511649
;;;27513359;;;;;;;;;;;;;2755513359
;;;27511650;;;;;;;;;;;;;2755511650
;;;27513360;;;;;;;;;;;;;2755513360
;;;27511651;;;;;;;;;;;;;2755511651
;;;27513361;;;;;;;;;;;;;2755513361
;;;27511652;;;;;;;;;;;;;2755511652
;;;27513362;;;;;;;;;;;;;2755513362
;;;27511653;;;;;;;;;;;;;2755511653
;;;27513363;;;;;;;;;;;;;2755513363
;;;27511654;;;;;;;;;;;;;2755511654
;;;27513364;;;;;;;;;;;;;2755513364
;;;27511655;;;;;;;;;;;;;2755511655
;;;27513365;;;;;;;;;;;;;2755513365
;;;27513186;;;;;;;;;;;;;2755513186
;;;27513187;;;;;;;;;;;;;2755513187
;;;27513188;;;;;;;;;;;;;2755513188
;;;27513189;;;;;;;;;;;;;2755513189
;;;27513190;;;;;;;;;;;;;2755513190
;;;27513191;;;;;;;;;;;;;2755513191
;;;27513192;;;;;;;;;;;;;2755513192
;;;27513193;;;;;;;;;;;;;2755513193
;;;27513194;;;;;;;;;;;;;2755513194
;;;27513195;;;;;;;;;;;;;2755513195
;;;27513196;;;;;;;;;;;;;2755513196
;;;27513197;;;;;;;;;;;;;2755513197
;;;27513198;;;;;;;;;;;;;2755513198
;;;27513199;;;;;;;;;;;;;2755513199
;;;27513200;;;;;;;;;;;;;2755513200
;;;27511761;;;;;;;;;;;;;2755511761
;;;27511762;;;;;;;;;;;;;2755511762
;;;27511763;;;;;;;;;;;;;2755511763
;;;27511764;;;;;;;;;;;;;2755511764
;;;27511765;;;;;;;;;;;;;2755511765
