Abbreviation;AssessmentFormId;ChildOf_AssessmentSubtestId;ContainerOnly;Description;Identifier;MaximumValue;MinimumValue;OptimalValue;PublishedDate;RecordEndDateTime;RecordStartDateTime;RefAcademicSubjectId;RefAssessmentPurposeId;RefAssessmentSubtestIdentifierTypeId;RefContentStandardTypeId;RefScoreMetricTypeId;Rules;Tier;Title;Version;AssessmentSubtestId
;2790011326;;;Evaluación Diagnóstica;;70;10;;;;;;;;7;;;;;;279107011326
;2790011327;;;;;70;10;;;;;;;;7;;;;;;279107011327
;2790011328;;;;;70;10;;;;;;;;7;;;;;;279107011328
;2790011329;;;;;70;10;;;;;;;;7;;;;;;279107011329
;2790011330;;;;;70;10;;;;;;;;7;;;;;;279107011330
;2790011331;;;;;70;10;;;;;;;;7;;;;;;279107011331
;2790011332;;;;;70;10;;;;;;;;7;;;;;;279107011332
;2790011333;;;;;70;10;;;;;;;;7;;;;;;279107011333
;2790011334;;;;;70;10;;;;;;;;7;;;;;;279107011334
;2790011335;;;;;70;10;;;;;;;;7;;;;;;279107011335
;2790011336;;;;;70;10;;;;;;;;7;;;;;;279107011336
;2790011337;;;;;70;10;;;;;;;;7;;;;;;279107011337
;2790011338;;;;;70;10;;;;;;;;7;;;;;;279107011338
;2790011339;;;;;70;10;;;;;;;;7;;;;;;279107011339
;2790011340;;;;;70;10;;;;;;;;7;;;;;;279107011340
;2790011341;;;Evaluación diagnóstica;;70;10;;;;;;;;7;;;;;;279107011341
;2790011342;;;;;70;10;;;;;;;;7;;;;;;279107011342
;2790011343;;;;;70;10;;;;;;;;7;;;;;;279107011343
;2790011344;;;;;70;10;;;;;;;;7;;;;;;279107011344
;2790011345;;;;;70;10;;;;;;;;7;;;;;;279107011345
;2790011346;;;;;70;10;;;;;;;;7;;;;;;279107011346
;2790011347;;;;;70;10;;;;;;;;7;;;;;;279107011347
;2790011348;;;;;70;10;;;;;;;;7;;;;;;279107011348
;2790011349;;;;;70;10;;;;;;;;7;;;;;;279107011349
;2790011350;;;;;70;10;;;;;;;;7;;;;;;279107011350
;2790011351;;;;;70;10;;;;;;;;7;;;;;;279107011351
;2790011352;;;;;70;10;;;;;;;;7;;;;;;279107011352
;2790011353;;;;;70;10;;;;;;;;7;;;;;;279107011353
;2790011354;;;;;70;10;;;;;;;;7;;;;;;279107011354
;2790011355;;;;;70;10;;;;;;;;7;;;;;;279107011355
;2790011356;;;Evaluación diagnóstica;;70;10;;;;;;;;7;;;;;;279107011356
;2790011357;;;;;70;10;;;;;;;;7;;;;;;279107011357
;2790011358;;;;;70;10;;;;;;;;7;;;;;;279107011358
;2790011359;;;;;70;10;;;;;;;;7;;;;;;279107011359
;2790011360;;;;;70;10;;;;;;;;7;;;;;;279107011360
;2790011361;;;;;70;10;;;;;;;;7;;;;;;279107011361
;2790011362;;;;;70;10;;;;;;;;7;;;;;;279107011362
;2790011363;;;;;70;10;;;;;;;;7;;;;;;279107011363
;2790011364;;;;;70;10;;;;;;;;7;;;;;;279107011364
;2790011365;;;;;70;10;;;;;;;;7;;;;;;279107011365
;2790011366;;;;;70;10;;;;;;;;7;;;;;;279107011366
;2790011367;;;;;70;10;;;;;;;;7;;;;;;279107011367
;2790011368;;;;;70;10;;;;;;;;7;;;;;;279107011368
;2790011369;;;;;70;10;;;;;;;;7;;;;;;279107011369
;2790011370;;;;;70;10;;;;;;;;7;;;;;;279107011370
;2790011371;;;Evaluación diagnóstica;;70;10;;;;;;;;7;;;;;;279107011371
;2790011372;;;;;70;10;;;;;;;;7;;;;;;279107011372
;2790011373;;;;;70;10;;;;;;;;7;;;;;;279107011373
;2790011374;;;;;70;10;;;;;;;;7;;;;;;279107011374
;2790011375;;;;;70;10;;;;;;;;7;;;;;;279107011375
;2790011376;;;;;70;10;;;;;;;;7;;;;;;279107011376
;2790011377;;;;;70;10;;;;;;;;7;;;;;;279107011377
;2790011378;;;;;70;10;;;;;;;;7;;;;;;279107011378
;2790011379;;;;;70;10;;;;;;;;7;;;;;;279107011379
;2790011380;;;;;70;10;;;;;;;;7;;;;;;279107011380
;2790011381;;;;;70;10;;;;;;;;7;;;;;;279107011381
;2790011382;;;;;70;10;;;;;;;;7;;;;;;279107011382
;2790011383;;;;;70;10;;;;;;;;7;;;;;;279107011383
;2790011384;;;;;70;10;;;;;;;;7;;;;;;279107011384
;2790011385;;;;;70;10;;;;;;;;7;;;;;;279107011385
;2990011386;;;Prueba N1 Tipos de líneas y vistas de un objeto;;70;10;;;;;;;;7;;;;;;299107011386
;2990011387;;;Prueba N2 Acotado;;70;10;;;;;;;;7;;;;;;299107011387
;2990011388;;;Plano de conjunto Individual Manual;;70;10;;;;;;;;7;;;;;;299107011388
;2990011389;;;Plano de conjunto Individual Digital;;70;10;;;;;;;;7;;;;;;299107011389
;2990011390;;;Nota de proyecto general;;70;10;;;;;;;;7;;;;;;299107011390
;2990011391;;;;;70;10;;;;;;;;7;;;;;;299107011391
;2990011392;;;;;70;10;;;;;;;;7;;;;;;299107011392
;2990011393;;;;;70;10;;;;;;;;7;;;;;;299107011393
;2990011394;;;;;70;10;;;;;;;;7;;;;;;299107011394
;2990011395;;;;;70;10;;;;;;;;7;;;;;;299107011395
;2990011396;;;;;70;10;;;;;;;;7;;;;;;299107011396
;2990011397;;;;;70;10;;;;;;;;7;;;;;;299107011397
;2990011398;;;;;70;10;;;;;;;;7;;;;;;299107011398
;2990011399;;;;;70;10;;;;;;;;7;;;;;;299107011399
;2990011400;;;;;70;10;;;;;;;;7;;;;;;299107011400
;2990011401;;;Trabajo de creación de vistas de levantamiento;;70;10;;;;;;;;7;;;;;;299107011401
;2990011402;;;Trabajo de acotado de planos;;70;10;;;;;;;;7;;;;;;299107011402
;2990011403;;;Trabajo de cortes;;70;10;;;;;;;;7;;;;;;299107011403
;2990011404;;;Nota de planos individuales;;70;10;;;;;;;;7;;;;;;299107011404
;2990011405;;;Nota de planos manuales grupales;;70;10;;;;;;;;7;;;;;;299107011405
;2990011406;;;Nota de planos manuales de conjunto individual;;70;10;;;;;;;;7;;;;;;299107011406
;2990011407;;;;;70;10;;;;;;;;7;;;;;;299107011407
;2990011408;;;;;70;10;;;;;;;;7;;;;;;299107011408
;2990011409;;;;;70;10;;;;;;;;7;;;;;;299107011409
;2990011410;;;;;70;10;;;;;;;;7;;;;;;299107011410
;2990011411;;;;;70;10;;;;;;;;7;;;;;;299107011411
;2990011412;;;;;70;10;;;;;;;;7;;;;;;299107011412
;2990011413;;;;;70;10;;;;;;;;7;;;;;;299107011413
;2990011414;;;;;70;10;;;;;;;;7;;;;;;299107011414
;2990011415;;;;;70;10;;;;;;;;7;;;;;;299107011415
;2990011416;;;Prueba de piezas en 2d en autocad;;70;10;;;;;;;;7;;;;;;299107011416
;2990011417;;;Trabajo dibujo estructural de torres Electricas;;70;10;;;;;;;;7;;;;;;299107011417
;2990011418;;;Planos digitales individuales;;70;10;;;;;;;;7;;;;;;299107011418
;2990011419;;;Planos digitales Grupales;;70;10;;;;;;;;7;;;;;;299107011419
;2990011420;;;Plano de levantamiento digital de conjunto;;70;10;;;;;;;;7;;;;;;299107011420
;2990011421;;;;;70;10;;;;;;;;7;;;;;;299107011421
;2990011422;;;;;70;10;;;;;;;;7;;;;;;299107011422
;2990011423;;;;;70;10;;;;;;;;7;;;;;;299107011423
;2990011424;;;;;70;10;;;;;;;;7;;;;;;299107011424
;2990011425;;;;;70;10;;;;;;;;7;;;;;;299107011425
;2990011426;;;;;70;10;;;;;;;;7;;;;;;299107011426
;2990011427;;;;;70;10;;;;;;;;7;;;;;;299107011427
;2990011428;;;;;70;10;;;;;;;;7;;;;;;299107011428
;2990011429;;;;;70;10;;;;;;;;7;;;;;;299107011429
;2990011430;;;;;70;10;;;;;;;;7;;;;;;299107011430
;2810011446;;;Cálculo Mental;;70;10;;;;;;;;7;;;;;;281107011446
;2810011447;;;Prueba parcial numeración (1);;70;10;;;;;;;;7;;;;;;281107011447
;2810011448;;;Prueba parcial (2);;70;10;;;;;;;;7;;;;;;281107011448
;2810011449;;;Prueba coeficiente 2;;70;10;;;;;;;;7;;;;;;281107011449
;2810011450;;;Prueba coeficiente 2;;70;10;;;;;;;;7;;;;;;281107011450
;2810011451;;;;;70;10;;;;;;;;7;;;;;;281107011451
;2810011452;;;;;70;10;;;;;;;;7;;;;;;281107011452
;2810011453;;;;;70;10;;;;;;;;7;;;;;;281107011453
;2810011454;;;;;70;10;;;;;;;;7;;;;;;281107011454
;2810011455;;;;;70;10;;;;;;;;7;;;;;;281107011455
;2810011456;;;;;70;10;;;;;;;;7;;;;;;281107011456
;2810011457;;;;;70;10;;;;;;;;7;;;;;;281107011457
;2810011458;;;;;70;10;;;;;;;;7;;;;;;281107011458
;2810011459;;;;;70;10;;;;;;;;7;;;;;;281107011459
;2810011460;;;;;70;10;;;;;;;;7;;;;;;281107011460
;2810011461;;;"Prueba parcial (Coordenadas; latitud y longitud; puntos cardinales)";;70;10;;;;;;;;7;;;;;;281107011461
;2810011462;;;"Prueba parcial  (latitud y longitud; Características de América)";;70;10;;;;;;;;7;;;;;;281107011462
;2810011463;;;Trabajo Práctico (Elementos naturales y culturales de un paisaje geográfico);;70;10;;;;;;;;7;;;;;;281107011463
;2810011464;;;Prueba coeficiente 2;;70;10;;;;;;;;7;;;;;;281107011464
;2810011465;;;Prueba coeficiente 2;;70;10;;;;;;;;7;;;;;;281107011465
;2810011466;;;;;70;10;;;;;;;;7;;;;;;281107011466
;2810011467;;;;;70;10;;;;;;;;7;;;;;;281107011467
;2810011468;;;;;70;10;;;;;;;;7;;;;;;281107011468
;2810011469;;;;;70;10;;;;;;;;7;;;;;;281107011469
;2810011470;;;;;70;10;;;;;;;;7;;;;;;281107011470
;2810011471;;;;;70;10;;;;;;;;7;;;;;;281107011471
;2810011472;;;;;70;10;;;;;;;;7;;;;;;281107011472
;2810011473;;;;;70;10;;;;;;;;7;;;;;;281107011473
;2810011474;;;;;70;10;;;;;;;;7;;;;;;281107011474
;2810011475;;;;;70;10;;;;;;;;7;;;;;;281107011475
;2810011476;;;Manejo del balón (Desplazamiento);;70;10;;;;;;;;7;;;;;;281107011476
;2810011477;;;Manejo de balón (coordinación óculo manual);;70;10;;;;;;;;7;;;;;;281107011477
;2810011478;;;Preparación acto Día Internacional del Medio Ambiente (representación;;70;10;;;;;;;;7;;;;;;281107011478
;2810011479;;;Manejo de la cuerda (coordinación óculo manual y desplazamiento);;70;10;;;;;;;;7;;;;;;281107011479
;2810011480;;;Manejo de la cuerda (coordinación óculo manual y desplazamiento);;70;10;;;;;;;;7;;;;;;281107011480
;2810011481;;;;;70;10;;;;;;;;7;;;;;;281107011481
;2810011482;;;;;70;10;;;;;;;;7;;;;;;281107011482
;2810011483;;;;;70;10;;;;;;;;7;;;;;;281107011483
;2810011484;;;;;70;10;;;;;;;;7;;;;;;281107011484
;2810011485;;;;;70;10;;;;;;;;7;;;;;;281107011485
;2810011486;;;;;70;10;;;;;;;;7;;;;;;281107011486
;2810011487;;;;;70;10;;;;;;;;7;;;;;;281107011487
;2810011488;;;;;70;10;;;;;;;;7;;;;;;281107011488
;2810011489;;;;;70;10;;;;;;;;7;;;;;;281107011489
;2810011490;;;;;70;10;;;;;;;;7;;;;;;281107011490
;3010011491;;;Prueba de dibujo, dibujar 3 piezas en el entorno pieza de solid edge;;70;10;;;;;;;;7;;;;;;301107011491
;3010011492;;;Conjunto armado en solidEdge con movimiento (Trocola);;70;10;;;;;;;;7;;;;;;301107011492
;3010011493;;;Creación de planos individuales proyecto movil;;70;10;;;;;;;;7;;;;;;301107011493
;3010011494;;;Generar movimiento;;70;10;;;;;;;;7;;;;;;301107011494
;3010011495;;;Crear proyecto de conjunto con movimiento;;70;10;;;;;;;;7;;;;;;301107011495
;3010011496;;;;;70;10;;;;;;;;7;;;;;;301107011496
;3010011497;;;;;70;10;;;;;;;;7;;;;;;301107011497
;3010011498;;;;;70;10;;;;;;;;7;;;;;;301107011498
;3010011499;;;;;70;10;;;;;;;;7;;;;;;301107011499
;3010011500;;;;;70;10;;;;;;;;7;;;;;;301107011500
;3010011501;;;;;70;10;;;;;;;;7;;;;;;301107011501
;3010011502;;;;;70;10;;;;;;;;7;;;;;;301107011502
;3010011503;;;;;70;10;;;;;;;;7;;;;;;301107011503
;3010011504;;;;;70;10;;;;;;;;7;;;;;;301107011504
;3010011505;;;;;70;10;;;;;;;;7;;;;;;301107011505
