CertificationDescription;CreditValue;Description;InstructionalMinutes;RecordEndDateTime;RecordStartDateTime;RefCourseApplicableEducationLevelId;RefCourseCreditUnitId;RefCourseLevelCharacteristicsId;RefInstructionLanguage;RepeatabilityMaximumNumber;SCEDSequenceOfCourse;SubjectAbbreviation;OrganizationId
;;4 Pre Básica A;;;;;;;;;;4 A;110
;;4 Pre Básica B;;;;;;;;;;4 B;122
;;5 Pre Básica A;;;;;;;;;;5 A;127
;;5 Pre Básica B;;;;;;;;;;5 B;131
;;1 Básica A;;;;;;;;;;1 A;142
;;1 Básica B;;;;;;;;;;1 B;153
;;2 Básica A;;;;;;;;;;2 A;155
;;2 Básica B;;;;;;;;;;2 B;166
;;3 Básica A;;;;;;;;;;3 A;175
;;3 Básica B;;;;;;;;;;3 B;201
;;4 Básica A;;;;;;;;;;4 A;203
;;4 Básica B;;;;;;;;;;4 B;222
;;5 Básica A;;;;;;;;;;5 A;224
;;6 Básica A;;;;;;;;;;6 A;243
;;6 Básica B;;;;;;;;;;6 B;262
;;7 Básica A;;;;;;;;;;7 A;277
;;7 Básica B;;;;;;;;;;7 B;295
;;8 Básica A;;;;;;;;;;8 A;310
;;8 Básica B;;;;;;;;;;8 B;329
;;1 Media A;;;;;;;;;;1 A;350
;;1 Media B;;;;;;;;;;1 B;363
;;2 Media A;;;;;;;;;;2 A;377
;;2 Media B;;;;;;;;;;2 B;390
;;3 Media A;;;;;;;;;;3 A;410
;;3 Media B;;;;;;;;;;3 B;428
;;4 Media A;;;;;;;;;;4 A;446
;;4 Media B;;;;;;;;;;4 B;464
;;3 Especialidad 510 A;;;;;;;;;;3 A;488
;;3 Especialidad 510 B;;;;;;;;;;3 B;496
;;4 Especialidad 510 A;;;;;;;;;;4 A;513
;;4 Especialidad 510 B;;;;;;;;;;4 B;515
;;4 Especialidad 510 Z;;;;;;;;;;4 Z;530
;;3 Especialidad 610 A;;;;;;;;;;3 A;537
;;3 Especialidad 610 B;;;;;;;;;;3 B;558
;;4 Especialidad 610 A;;;;;;;;;;4 A;560
;;4 Especialidad 610 B;;;;;;;;;;4 B;574
;;4 Especialidad 610 Z;;;;;;;;;;4 Z;575
