active;DisplacedStudentStatus;FirstEntryDateIntoUSSchool;NSLPDirectCertificationIndicator;RecordEndDateTime;RecordStartDateTime;RefDirectoryInformationBlockStatusId;RefEndOfTermStatusId;RefEnrollmentStatusId;RefEntryGradeLevelId;RefEntryType;RefExitGradeLevel;RefExitOrWithdrawalStatusId;RefExitOrWithdrawalTypeId;RefFoodServiceEligibilityId;RefNonPromotionReasonId;RefPromotionReasonId;RefPublicSchoolResidence;RefStudentEnrollmentAccessTypeId;OrganizationPersonRoleId;StudentListNumber
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105237;30
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105238;32
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105239;15
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105240;8
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105242;3
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105243;2
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105244;14
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105245;11
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105246;10
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105247;12
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105248;2
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105250;33
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105252;29
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105253;2
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105255;6
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105256;9
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105257;21
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105258;26
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105259;16
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105260;21
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105261;25
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105262;11
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105263;18
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105264;20
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105265;10
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105266;24
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105267;18
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105268;26
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105269;28
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105270;23
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105271;12
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105272;31
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105273;20
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105274;2
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105275;4
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105276;5
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105277;9
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105280;1
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105289;1
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105293;12
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105294;15
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105295;4
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105296;6
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105297;8
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105298;14
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105299;16
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105300;26
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105301;28
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105302;1
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105303;21
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105304;22
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105305;15
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105306;27
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105307;11
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105309;38
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105311;15
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105312;7
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105313;3
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105315;8
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105316;32
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105318;5
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105319;14
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105320;23
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105321;9
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105323;10
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105324;27
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105325;28
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105326;34
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105328;33
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105329;13
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105330;30
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105331;12
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105332;5
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105333;18
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105334;12
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105335;18
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105336;19
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105337;19
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105338;7
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105339;14
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105340;7
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105341;18
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105342;37
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105343;1
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105344;3
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105345;5
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105346;14
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105347;9
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105348;10
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105349;11
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105350;13
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105351;23
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105352;24
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105353;28
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105354;30
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105355;31
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105356;32
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105357;33
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105358;21
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105360;31
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105361;41
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105363;17
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105364;11
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105365;8
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105368;14
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105369;19
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105370;11
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105372;12
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105375;40
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105376;27
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105377;17
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105378;27
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105379;25
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105380;19
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105382;9
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105384;2
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105385;19
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105386;29
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105387;4
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105388;8
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105389;11
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105390;12
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105393;19
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105394;22
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105395;24
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105396;26
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105397;27
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105398;32
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105399;34
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105400;35
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105403;4
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105404;1
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105405;13
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105406;6
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105407;20
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105408;1
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105409;5
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105410;7
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105411;8
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105413;15
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105414;17
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105415;18
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105417;19
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105418;21
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105419;24
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105420;28
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105421;29
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105422;30
;;2024-03-05;;;;;;2;;;;;;;;;;5;10105423;12
