GradePointAverageGivenSession;OrganizationCalendarSessionId;RecordEndDateTime;RecordStartDateTime;K12StudentSessionId;OrganizationPersonRoleId
2.00;351;;;1;10105235
4.70;351;;;2;10105236
6.00;351;;;3;10105237
5.40;352;;;4;10105237
6.10;353;;;5;10105238
6.20;354;;;6;10105238
5.50;351;;;7;10105239
5.60;352;;;8;10105239
4.30;353;;;9;10105240
4.90;354;;;10;10105240
5.10;347;;;11;10105242
5.40;348;;;12;10105242
5.70;353;;;13;10105243
5.50;354;;;14;10105243
6.30;351;;;15;10105244
6.50;352;;;16;10105244
5.80;355;;;17;10105245
5.70;356;;;18;10105245
6.40;357;;;19;10105246
6.40;358;;;20;10105246
5.60;355;;;21;10105247
5.60;356;;;22;10105247
5.20;351;;;23;10105248
5.00;352;;;24;10105248
4.80;353;;;25;10105250
4.80;354;;;26;10105250
2.00;347;;;27;10105251
4.90;355;;;28;10105252
5.30;356;;;29;10105252
5.70;369;;;30;10105253
5.90;370;;;31;10105253
3.60;369;;;32;10105254
6.20;377;;;33;10105255
6.30;378;;;34;10105255
6.10;377;;;35;10105256
6.30;378;;;36;10105256
5.70;377;;;37;10105257
6.10;378;;;38;10105257
4.30;353;;;39;10105258
4.10;354;;;40;10105258
6.10;369;;;41;10105259
6.30;370;;;42;10105259
4.80;369;;;43;10105260
5.30;370;;;44;10105260
5.30;377;;;45;10105261
5.40;378;;;46;10105261
6.30;377;;;47;10105262
6.40;378;;;48;10105262
4.80;377;;;49;10105263
5.60;378;;;50;10105263
5.50;377;;;51;10105264
6.00;378;;;52;10105264
4.80;377;;;53;10105265
5.30;378;;;54;10105265
4.00;369;;;55;10105266
4.00;370;;;56;10105266
5.70;355;;;57;10105267
5.00;356;;;58;10105267
5.20;377;;;59;10105268
5.30;378;;;60;10105268
6.40;355;;;61;10105269
6.50;356;;;62;10105269
5.40;377;;;63;10105270
4.90;378;;;64;10105270
5.30;377;;;65;10105271
5.70;378;;;66;10105271
4.60;351;;;67;10105272
5.30;352;;;68;10105272
6.30;369;;;69;10105273
6.20;370;;;70;10105273
5.60;381;;;71;10105274
5.60;382;;;72;10105274
5.70;373;;;73;10105275
5.40;374;;;74;10105275
6.40;373;;;75;10105276
6.50;374;;;76;10105276
6.20;373;;;77;10105277
5.90;374;;;78;10105277
5.00;377;;;79;10105280
5.70;378;;;80;10105280
5.30;373;;;81;10105293
5.20;374;;;82;10105293
5.30;377;;;83;10105294
5.30;378;;;84;10105294
5.60;347;;;85;10105295
5.10;348;;;86;10105295
5.50;347;;;87;10105296
5.50;348;;;88;10105296
6.30;347;;;89;10105297
5.70;348;;;90;10105297
6.30;347;;;91;10105298
5.70;348;;;92;10105298
4.90;347;;;93;10105299
5.40;348;;;94;10105299
5.00;347;;;95;10105300
5.00;348;;;96;10105300
6.40;347;;;97;10105301
6.30;348;;;98;10105301
4.40;347;;;99;10105302
5.30;348;;;100;10105302
5.20;351;;;101;10105303
5.60;352;;;102;10105303
6.30;353;;;103;10105304
6.20;354;;;104;10105304
6.50;357;;;105;10105305
6.60;358;;;106;10105305
6.60;357;;;107;10105306
6.60;358;;;108;10105306
6.20;347;;;109;10105307
6.00;348;;;110;10105307
5.50;347;;;111;10105309
5.50;348;;;112;10105309
5.10;377;;;113;10105310
1.30;378;;;114;10105310
5.30;355;;;115;10105311
5.40;356;;;116;10105311
5.30;353;;;117;10105312
5.40;354;;;118;10105312
5.50;373;;;119;10105313
4.60;374;;;120;10105313
5.40;357;;;121;10105315
5.50;358;;;122;10105315
5.30;351;;;123;10105316
5.10;352;;;124;10105316
5.20;377;;;125;10105318
5.30;378;;;126;10105318
4.70;357;;;127;10105319
4.70;358;;;128;10105319
4.90;353;;;129;10105320
5.30;354;;;130;10105320
5.30;353;;;131;10105321
4.90;354;;;132;10105321
5.80;351;;;133;10105323
6.00;352;;;134;10105323
4.50;351;;;135;10105324
