CalendarCode;CalendarYear;RecordEndDateTime;RecordStartDateTime;CalendarDescription;OrganizationCalendarId;OrganizationId
1;2024;;;1er Semestre;500271;110
2;2024;;;2do Semestre;500271;110
1;2024;;;1er Semestre;500272;122
2;2024;;;2do Semestre;500272;122
1;2024;;;1er Semestre;500273;127
2;2024;;;2do Semestre;500273;127
1;2024;;;1er Semestre;500274;131
2;2024;;;2do Semestre;500274;131
1;2024;;;1er Semestre;500275;142
2;2024;;;2do Semestre;500275;142
1;2024;;;1er Semestre;500276;153
2;2024;;;2do Semestre;500276;153
1;2024;;;1er Semestre;500277;155
2;2024;;;2do Semestre;500277;155
1;2024;;;1er Semestre;500278;166
2;2024;;;2do Semestre;500278;166
1;2024;;;1er Semestre;500279;175
2;2024;;;2do Semestre;500279;175
1;2024;;;1er Semestre;500280;201
2;2024;;;2do Semestre;500280;201
1;2024;;;1er Semestre;500281;203
2;2024;;;2do Semestre;500281;203
1;2024;;;1er Semestre;500282;222
2;2024;;;2do Semestre;500282;222
1;2024;;;1er Semestre;500283;224
2;2024;;;2do Semestre;500283;224
1;2024;;;1er Semestre;500284;243
2;2024;;;2do Semestre;500284;243
1;2024;;;1er Semestre;500285;262
2;2024;;;2do Semestre;500285;262
1;2024;;;1er Semestre;500286;277
2;2024;;;2do Semestre;500286;277
1;2024;;;1er Semestre;500287;295
2;2024;;;2do Semestre;500287;295
1;2024;;;1er Semestre;500288;310
2;2024;;;2do Semestre;500288;310
1;2024;;;1er Semestre;500289;329
2;2024;;;2do Semestre;500289;329
1;2024;;;1er Semestre;500290;350
2;2024;;;2do Semestre;500290;350
1;2024;;;1er Semestre;500291;363
2;2024;;;2do Semestre;500291;363
1;2024;;;1er Semestre;500292;377
2;2024;;;2do Semestre;500292;377
1;2024;;;1er Semestre;500293;390
2;2024;;;2do Semestre;500293;390
1;2024;;;1er Semestre;500294;410
2;2024;;;2do Semestre;500294;410
1;2024;;;1er Semestre;500295;428
2;2024;;;2do Semestre;500295;428
1;2024;;;1er Semestre;500296;446
2;2024;;;2do Semestre;500296;446
1;2024;;;1er Semestre;500297;464
2;2024;;;2do Semestre;500297;464
1;2024;;;1er Semestre;500298;488
2;2024;;;2do Semestre;500298;488
1;2024;;;1er Semestre;500299;496
2;2024;;;2do Semestre;500299;496
1;2024;;;1er Semestre;500300;513
2;2024;;;2do Semestre;500300;513
1;2024;;;1er Semestre;500301;515
2;2024;;;2do Semestre;500301;515
1;2024;;;1er Semestre;500302;530
2;2024;;;2do Semestre;500302;530
1;2024;;;1er Semestre;500303;537
2;2024;;;2do Semestre;500303;537
1;2024;;;1er Semestre;500304;558
2;2024;;;2do Semestre;500304;558
1;2024;;;1er Semestre;500305;560
2;2024;;;2do Semestre;500305;560
1;2024;;;1er Semestre;500306;574
2;2024;;;2do Semestre;500306;574
1;2024;;;1er Semestre;500307;575
2;2024;;;2do Semestre;500307;575
44636;2024;;;clase fecha: 2024-03-11;10044636;213
44637;2024;;;clase fecha: 2024-03-15;10044637;290
44638;2024;;;clase fecha: 2024-03-15;10044638;290
44639;2024;;;clase fecha: 2024-03-05;10044639;542
44640;2024;;;clase fecha: 2024-03-05;10044640;542
44641;2024;;;clase fecha: 2024-03-05;10044641;502
44642;2024;;;clase fecha: 2024-03-05;10044642;502
44643;2024;;;clase fecha: 2024-03-05;10044643;283
44644;2024;;;clase fecha: 2024-03-05;10044644;283
44645;2024;;;clase fecha: 2024-03-06;10044645;249
44646;2024;;;clase fecha: 2024-03-06;10044646;249
44647;2024;;;clase fecha: 2024-03-06;10044647;319
44648;2024;;;clase fecha: 2024-03-06;10044648;319
44649;2024;;;clase fecha: 2024-03-07;10044649;520
44650;2024;;;clase fecha: 2024-03-07;10044650;520
44651;2024;;;clase fecha: 2024-03-07;10044651;319
44652;2024;;;clase fecha: 2024-03-07;10044652;319
44653;2024;;;clase fecha: 2024-03-07;10044653;230
44654;2024;;;clase fecha: 2024-03-07;10044654;230
44655;2024;;;clase fecha: 2024-03-07;10044655;566
44656;2024;;;clase fecha: 2024-03-08;10044656;283
44657;2024;;;clase fecha: 2024-03-08;10044657;283
44658;2024;;;clase fecha: 2024-03-08;10044658;230
44659;2024;;;clase fecha: 2024-03-08;10044659;230
44660;2024;;;clase fecha: 2024-03-08;10044660;566
44661;2024;;;clase fecha: 2024-03-11;10044661;249
44662;2024;;;clase fecha: 2024-03-11;10044662;249
44663;2024;;;clase fecha: 2024-03-11;10044663;327
44664;2024;;;clase fecha: 2024-03-12;10044664;542
44665;2024;;;clase fecha: 2024-03-12;10044665;542
44666;2024;;;clase fecha: 2024-03-12;10044666;502
44667;2024;;;clase fecha: 2024-03-12;10044667;502
44668;2024;;;clase fecha: 2024-03-12;10044668;283
44669;2024;;;clase fecha: 2024-03-12;10044669;283
44670;2024;;;clase fecha: 2024-03-15;10044670;283
44671;2024;;;clase fecha: 2024-03-15;10044671;283
44672;2024;;;clase fecha: 2024-03-15;10044672;230
44673;2024;;;clase fecha: 2024-03-15;10044673;230
44674;2024;;;clase fecha: 2024-03-15;10044674;566
44675;2024;;;clase fecha: 2024-03-13;10044675;249
44676;2024;;;clase fecha: 2024-03-13;10044676;249
44677;2024;;;clase fecha: 2024-03-13;10044677;319
44678;2024;;;clase fecha: 2024-03-13;10044678;319
